sku,url_key,meta_title,meta_keywords,meta_description
VT12-RN-XS,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-RN-S,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-RN-M,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-RN-L,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-PE-XS,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-PE-S,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-PE-M,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-PE-L,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-LL-XS,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
VT12-LL-S,jillian-top,Jillian Top,"Jillian Top,Fashion Tops","The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.   Features: Crewneck. Capped sleeve. Sits on the h"
